iter	MultiClass
0	0.354395507
1	0.196090015
2	0.09366259651
3	0.04524750707
4	0.03245120724
5	0.01741936846
6	0.01508722917
7	0.009751673195
8	0.00724722034
9	0.004723892105
10	0.003907455367
11	0.003254518259
12	0.002616203506
13	0.002231012125
14	0.00185840083
15	0.001615745892
16	0.001339997472
17	0.001010898492
18	0.0007970174104
19	0.0007069739251
20	0.0006058494498
21	0.0005277530164
22	0.0004364810577
23	0.0004207755574
24	0.0003758890774
25	0.0003470551451
26	0.0003279418652
27	0.0002878428488
28	0.000275349318
29	0.0002582882096
30	0.0002390563661
31	0.0002202350665
32	0.0002073097193
33	0.0001952268813
34	0.0001891974954
35	0.0001781734603
36	0.0001741079156
37	0.0001551683128
38	0.000144084474
39	0.0001413286987
40	0.0001362109501
41	0.0001338404872
42	0.0001298441109
43	0.0001273849417
44	0.0001195253155
45	0.0001153117634
46	0.0001144627105
47	0.0001098632801
48	0.000106284073
49	0.0001046238432
50	9.61709046e-05
51	9.153247905e-05
52	9.024759995e-05
53	8.683475908e-05
54	8.539437787e-05
55	8.269107019e-05
56	7.845876055e-05
57	7.807829165e-05
58	7.44148277e-05
59	7.195979588e-05
60	6.997953995e-05
61	6.83787781e-05
62	6.727865366e-05
63	6.561076455e-05
64	6.476358054e-05
65	6.281002463e-05
66	6.109389212e-05
67	5.857409506e-05
68	5.638274527e-05
69	5.494921635e-05
70	5.448874438e-05
71	5.335692198e-05
72	5.106065414e-05
73	5.013618831e-05
74	4.916863754e-05
75	4.798213418e-05
76	4.719301626e-05
77	4.635957008e-05
78	4.56668822e-05
79	4.525642325e-05
80	4.285933733e-05
81	4.249119917e-05
82	4.215037484e-05
83	4.15116837e-05
84	4.125328975e-05
85	4.003380728e-05
86	3.970743786e-05
87	3.85419798e-05
88	3.78040814e-05
89	3.714365106e-05
90	3.677737373e-05
91	3.617424126e-05
92	3.558261316e-05
93	3.467549285e-05
94	3.428998982e-05
95	3.4083456e-05
96	3.346273566e-05
97	3.244530838e-05
98	3.210846892e-05
99	3.147181048e-05
100	3.072866358e-05
101	3.012379031e-05
102	2.954202055e-05
103	2.936917524e-05
104	2.910336076e-05
105	2.855801663e-05
106	2.840948048e-05
107	2.816208886e-05
108	2.802417068e-05
109	2.755112118e-05
110	2.712941309e-05
111	2.693057393e-05
112	2.64466775e-05
113	2.625082324e-05
114	2.60390301e-05
115	2.593146338e-05
116	2.552221686e-05
