iter	Passed	Remaining
0	122	122830
1	184	92165
2	237	78896
3	289	72044
4	340	67771
5	393	65192
6	446	63308
7	499	61959
8	554	61058
9	608	60288
10	659	59282
11	711	58620
12	766	58202
13	825	58131
14	880	57813
15	934	57471
16	992	57398
17	1048	57180
18	1104	57022
19	1157	56710
20	1214	56615
21	1265	56261
22	1319	56038
23	1376	55957
24	1424	55560
25	1476	55319
26	1528	55082
27	1582	54926
28	1634	54711
29	1684	54461
30	1734	54225
31	1786	54029
32	1839	53898
33	1890	53706
34	1936	53388
35	1988	53254
36	2040	53110
37	2092	52983
38	2144	52830
39	2193	52652
40	2245	52517
41	2293	52314
42	2345	52192
43	2396	52077
44	2448	51967
45	2500	51852
46	2554	51787
47	2607	51707
48	2663	51697
49	2714	51574
50	2765	51465
51	2819	51401
52	2873	51337
53	2923	51223
54	2973	51088
55	3023	50964
56	3074	50863
57	3124	50752
58	3176	50668
59	3227	50563
60	3278	50473
61	3330	50380
62	3384	50332
63	3435	50251
64	3487	50173
65	3540	50100
66	3595	50067
67	3649	50022
68	3700	49929
69	3749	49810
70	3802	49754
71	3854	49674
72	3905	49600
73	3958	49531
74	4010	49457
75	4062	49394
76	4114	49319
77	4167	49256
78	4217	49167
79	4266	49063
80	4317	48984
81	4371	48942
82	4428	48922
83	4482	48881
84	4531	48779
85	4586	48741
86	4641	48710
87	4696	48669
88	4753	48656
89	4810	48643
90	4868	48629
91	4922	48579
92	4977	48544
93	5036	48544
94	5089	48484
95	5140	48404
96	5193	48346
97	5246	48288
98	5298	48217
99	5349	48141
100	5404	48108
101	5461	48079
102	5511	48001
103	5558	47891
104	5616	47875
105	5666	47795
106	5713	47683
107	5765	47614
108	5814	47533
109	5867	47474
110	5918	47404
111	5970	47336
112	6023	47284
113	6078	47239
114	6137	47234
115	6195	47213
116	6256	47214
117	6313	47191
118	6377	47214
119	6446	47273
120	6500	47221
121	6550	47145
122	6603	47085
123	6653	47000
124	6704	46932
125	6757	46872
126	6811	46821
127	6859	46727
128	6910	46659
129	6964	46610
130	7025	46604
131	7080	46559
132	7139	46539
133	7199	46529
134	7255	46487
135	7305	46409
136	7362	46377
137	7418	46338
138	7470	46276
139	7524	46222
140	7582	46194
141	7637	46147
142	7693	46108
143	7747	46052
144	7797	45976
145	7848	45905
146	7900	45844
147	7953	45787
148	8005	45724
149	8059	45669
150	8117	45638
151	8170	45581
152	8228	45555
153	8285	45516
154	8339	45465
155	8395	45420
156	8450	45373
157	8506	45330
158	8557	45265
159	8609	45202
160	8661	45135
161	8712	45067
162	8762	44996
163	8813	44929
164	8866	44871
165	8920	44819
166	8974	44763
167	9030	44722
168	9091	44704
169	9149	44673
170	9211	44657
171	9270	44625
172	9325	44577
173	9384	44549
174	9437	44489
175	9490	44432
176	9546	44387
177	9605	44356
178	9660	44308
179	9713	44249
180	9767	44197
181	9819	44132
182	9872	44073
183	9924	44011
184	9978	43957
185	10029	43894
186	10083	43838
187	10137	43784
188	10194	43744
189	10247	43685
190	10300	43628
191	10352	43567
192	10405	43506
193	10457	43448
194	10510	43391
195	10560	43318
196	10613	43262
197	10664	43195
198	10719	43146
199	10771	43086
200	10818	43006
201	10872	42952
202	10921	42877
203	10980	42845
204	11028	42768
205	11083	42719
206	11137	42668
207	11189	42605
208	11240	42543
209	11290	42474
210	11341	42410
211	11394	42352
212	11449	42304
213	11502	42248
214	11559	42206
